"Name","House","Expansion – #","Type","Rarity","Aerc Min","Aerc Max","Amber Control","Amber Control Max","Expected Amber","Expected Amber Max","Creature Protection","Creature Protection Max","Artifact Control","Artifact Control Max","Creature Control","Creature Control Max","Effective Power","Effective Power Max","Efficiency","Efficiency Max","Recursion","Recursion Max","Disruption","Disruption Max","Other","Other Max","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"Grenade Snib","Brobnar","CALL_OF_THE_ARCHONS – 034","Creature","Uncommon","1.85","2.85","1.25","2.25","0","","0","","0","","0","","2","","0","0","","","0","","0","","0","2","0","11479","10480","goodDestroyed – 3 – anyHouse","destroys – 3 – anyHouse | damagesMultiple – 3 – anyHouse | returns_R_FromDiscard – 3 – anyHouse","GOBLIN","Destroyed: Your opponent loses 2<A>.",""
"Bilgum Avalanche","Brobnar","CALL_OF_THE_ARCHONS – 028 | AGE_OF_ASCENSION – 035","Creature","Rare","1.4","","0","","0","","0","","0","","0.5","","5","","0","0","","","0","","0","","0","5","","4946","4907","damagesMultiple – 3 – anyHouse","","GIANT","After you forge a key, deal 2D to each enemy creature.","“Some call her ‘warleader.’ Some call her ‘demon.’ I just call her ‘Avalanche.’” – Dodger"
"Headhunter","Brobnar","CALL_OF_THE_ARCHONS – 035","Creature","Common","1.4","1.9","0","","0.5","1","0","","0","","0","","5","","0","0","","","0","","0","","0","5","0","27397","26267","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse","GIANT","Fight: Gain 1<A>.","“I mean, I think it’s a head...”"
"Champion’s Challenge","Brobnar","CALL_OF_THE_ARCHONS – 006 | AGE_OF_ASCENSION – 036","Action","Rare","3","5","0","","0","","0","","0","","3.5","5.5","-5","","0","0","","","0","","0","","0","","","5520","5259","dangerousRandomPlay – 2 – anyHouse | destroys – 3 – anyHouse | boardClear – 3 – anyHouse | good – 4 – anyHouse","lowCreatureCount – 3 – anyHouse | highCreatureCount – -3 – anyHouse","","Play: Destroy each enemy creature except the most powerful enemy creature. Destroy each friendly creature except the most powerful friendly creature. Ready and fight with your remaining creature.",""
"Forgemaster Og","Brobnar","AGE_OF_ASCENSION – 038 | WORLDS_COLLIDE – 036","Creature","Rare","0.8","2.8","0","2","0","","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","3132","3399","scalingAmberControl – 1 – anyHouse","increasesKeyCost – 2 – anyHouse | increasesKeyCost – -2 – anyHouse | capturesAmber – 1 – anyHouse","GIANT","After a player forges a key, they lose all of their remaining A.",""
"Hebe the Huge","Brobnar","CALL_OF_THE_ARCHONS – 036","Creature","Uncommon","1.5","2.5","0","","0","","0","","0","","1","1.5","1","6","0","0","","","0","","0","","0","6","0","10159","9869","dealsDamage – 3 – anyHouse | damagesMultiple – 3 – anyHouse | destroys – 3 – anyHouse | goodPlay – 2 – anyHouse | boardClear – 1 – anyHouse","highTotalArmor – 3 – anyHouse | any – -1 – anyHouse","KNIGHT | GIANT","Play: Deal 2<D> to each other undamaged creature.","He’s much bigger in person. "
"Grumpus Tamer","Brobnar","AGE_OF_ASCENSION – 039 | WORLDS_COLLIDE – 037","Creature","Rare","0.8","1.7999999999999998","0","","0","","0","","0","","0","","4","","0","0","","","0","","0","1","0","4","","2631","3107","goodReap – 3 – anyHouse","card – 2 – house | causesReaping – 2 – house","GIANT","Reap: Search your deck and discard pile for a War Grumpus, reveal it, and add it to your hand. Then, shuffle your deck.",""
"Kelifi Dragon","Brobnar","CALL_OF_THE_ARCHONS – 037","Creature","Rare","0.5","2","0","","0","0.5","0","","0","","0","0.5","1","6","0","0","","","0","","0","","0","12","0","2836","3034","","highExpectedAmber – 3 – house | increasesKeyCost – 3 – anyHouse","DRAGON","Kelifi Dragon cannot be played unless you have 7<A> or more.Fight/Reap: Gain 1<A>. Deal 5<D> to a creature.",""
"Cybergiant Rig","Brobnar","WORLDS_COLLIDE – 035 | AGE_OF_ASCENSION – 037","Upgrade","Rare","1.2","1.4","0","","1","","0","","0","","0","","2","4","0","0","","","0","","0","","1","","","2908","3236","increasesCreaturePower – 3 – anyHouse | heals – 3 – anyHouse | goodPlay – 3 – anyHouse","goodFight – 3 – anyHouse","","This creature gains, “At the end of your turn, this creature loses a +1 power counter.” Play: Fully heal this creature and give it a +1 power counter for each damage healed.",""
"Guji Dinosaur Hunter","Brobnar","WORLDS_COLLIDE – 038","Creature","Rare","1.25","1.5","0","","0","","0","","0","","0.25","0.5","6","","0","0","","","0","","0","","0","4","","1118","1278","dealsDamage – 3 – anyHouse | elusive – 3 – anyHouse | goodAction – 2 – anyHouse","putsAmberOnTarget – 3 – anyHouse","HUNTER | GIANT","Elusive.  Action: Deal 2D to a creature. Deal 6D instead if it is a Dinosaur creature or has A on it.",""
"Igon the Green","Brobnar","WORLDS_COLLIDE – 039","Creature","Rare","0.8","1.3","0","","0","","0","","0","","0","","4","","0","0","","","0","","0","0.5","0","4","","1043","1257","","shufflesDiscard – -4 – anyHouse","GIANT","Destroyed: Purge Igon the Green. Return an Igon the Terrible from your discard pile to your hand. ","“A ship. The sea. What more could I want?”"
"Krump","Brobnar","CALL_OF_THE_ARCHONS – 039","Creature","Common","1.75","2.25","0.75","1.25","0","","0","","0","","0","","6","","0","0","","","0","","0","","0","6","0","29842","27624","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse","GIANT","After an enemy creature is destroyed fighting Krump, its controller loses 1<A>.",""
"Iron Obelisk","Brobnar","CALL_OF_THE_ARCHONS – 023 | AGE_OF_ASCENSION – 040 | WORLDS_COLLIDE – 040","Artifact","Rare","0.5","2.5","0.5","2.5","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","6479","6477","increasesKeyCost – 3 – anyHouse","highTotalCreaturePower – 3 – house | damagesMultiple – 3 – anyHouse","LOCATION","Your opponent’s keys cost +1A for each friendly damaged Brobnar creature.",""
"Lomir Flamefist","Brobnar","CALL_OF_THE_ARCHONS – 040","Creature","Uncommon","1.65","2.15","0.75","1.25","0","","0","","0","","0","","5","","0","0","","","0","","0","","0","5","0","10740","10159","goodPlay – 2 – anyHouse","increasesKeyCost – 3 – anyHouse | replays – 2 – house","GIANT","Play: If your opponent has 7<A> or more, they lose 2<A>.","“I thought his name would turn out to be... metaphorical.” – Quixo the “Adventurer”"
"Kaloch Stonefather","Brobnar","WORLDS_COLLIDE – 041","Creature","Rare","1.4","1.9","0","","0","","0","","0","","0","","10","15","0","0","","","0","","0","","0","6","","1131","1341","goodFight – 3 – anyHouse | skirmish – 4 – anyHouse","moves – 3 – anyHouse | goodFight – 2 – anyHouse | causesFighting – 2 – anyHouse","LEADER | GIANT","While Kaloch Stonefather is in the center of your battleline, each friendly creature gains skirmish.",""
"King of the Crag","Brobnar","CALL_OF_THE_ARCHONS – 038 | AGE_OF_ASCENSION – 041","Creature","Rare","1.35","","0","","0","","0","","0","","0.25","","7","","0","0","","","0","","0","","0","7","","5062","5059","","","GIANT","Each enemy Brobnar creature gets –2 power.","Overthrowing this king is an uphill battle. "
"Looter Goblin","Brobnar","CALL_OF_THE_ARCHONS – 041","Creature","Rare","1.1","2.1","0","","0.5","1.5","0","","0","","0","","2","","0","0","","","0","","0","","0","2","0","2953","2836","goodReap – 3 – anyHouse | elusive – 3 – anyHouse","destroys – 3 – house | dealsDamage – 2 – house","GOBLIN","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Reap: For the remainder of the turn, gain 1<A> each time an enemy creature is destroyed.",""
"Lava Ball","Brobnar","CALL_OF_THE_ARCHONS – 009 | WORLDS_COLLIDE – 042 | AGE_OF_ASCENSION – 042","Action","Rare","1.75","","0","","0","","0","","0","","1.75","","0","","0","0","","","0","","0","","0","","","6080","6056","dealsDamage – 3 – anyHouse | damagesMultiple – 3 – anyHouse","","","Play: Deal 4D to a creature, with 2D splash.","“Here… Catch!”"
"Might Makes Right","Brobnar","AGE_OF_ASCENSION – 043","Action","Rare","1.5","4","0","","1.5","4","0","","0","","0","","0","","0","0","","","0","","0","","1","","","2478","2500","destroys – 3 – anyHouse | forgesKeys – 3 – anyHouse | good – 2 – anyHouse","highTotalCreaturePower – 4 – anyHouse | archives – 3 – anyHouse | card – 4 – anyHouse","","Play: You may sacrifice any number of creatures with total power of 25 or more. If you do, forge a key at no cost.",""
"Pingle Who Annoys","Brobnar","CALL_OF_THE_ARCHONS – 043","Creature","Rare","1.1","","0","","0","","0","","0","","0.5","","2","","0","0","","","0","","0","","0","2","0","2667","2711","damagesMultiple – 3 – anyHouse | elusive – 3 – anyHouse","","GOBLIN","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Deal 1<D> to each enemy creature after it enters play.",""
"Mugwump","Brobnar","CALL_OF_THE_ARCHONS – 042 | WORLDS_COLLIDE – 043 | AGE_OF_ASCENSION – 044","Creature","Rare","1.4","1.9","0","","0","","0","","0","","0","","10","15","0","0","","","0","","0","","0","6","","5514","5593","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse","GIANT","After an enemy creature is destroyed fighting Mugwump, fully heal Mugwump and give it a +1 power counter.",""
"Nogi Smartfist","Brobnar","WORLDS_COLLIDE – 044","Creature","Rare","1.4","1.65","0","","0","","0","","0","","0","","5","","0.5","0","0.75","","0","","0","","0","5","","1159","1361","discardsCards – 3 – anyHouse | drawsCards – 3 – anyHouse | goodFight – 2 – anyHouse","causesFighting – 3 – anyHouse","SCIENTIST | GIANT","Fight: Draw 2 cards. Discard 2 random cards from your hand.","Inventor of the screechbomb, the pneumatic axe, and the “big rock.”"
"Old Boomy","Brobnar","WORLDS_COLLIDE – 045","Creature","Rare","1.35","2.1","0","","0","","0","","0","","0","","2","","0.75","0","1.5","","0","","0","","0","2","","1174","1361","archives – 3 – anyHouse | archivesRandom – 3 – anyHouse | goodReap – 3 – anyHouse","protectsCreatures – 2 – anyHouse | causesReaping – 2 – anyHouse | addsArmor – 3 – anyHouse","GOBLIN | SCIENTIST","Reap: Reveal cards from the top of your deck until you reveal a Brobnar card or choose to stop. Deal 2D to Old Boomy if a Brobnar card was revealed. Archive each card revealed this way.",""
"Rogue Ogre","Brobnar","CALL_OF_THE_ARCHONS – 045","Creature","Rare","1.35","","0.25","","0","","0","","0","","0","","7","","0","0","","","0","","0","","0","6","0","3077","3105","capturesAmber – 3 – anyHouse","","MUTANT | GIANT","At the end of your turn, if you played exactly one card this turn, Rogue Ogre heals 2 damage and captures 1<A>.","“I like to think of it as a Roguere.” –Dodger"
"Phoenix Heart","Brobnar","CALL_OF_THE_ARCHONS – 051 | AGE_OF_ASCENSION – 045","Upgrade","Rare","0","0.75","0","","0","","0","","0","","0.5","1.25","-5","","0","0","","","0","","0","","0","","","4592","4736","damagesMultiple – 2 – anyHouse | returns_R_ToHand – 3 – anyHouse | replays – 3 – anyHouse | boardClear – 1 – anyHouse","highTotalArmor – 3 – anyHouse | goodPlay – 2 – anyHouse","","This creature gains, “Destroyed: Return this creature to its owner’s hand and deal 3D to each creature in play.”",""
"Pile of Skulls","Brobnar","CALL_OF_THE_ARCHONS – 025 | WORLDS_COLLIDE – 046 | AGE_OF_ASCENSION – 046","Artifact","Rare","1.5","3","1.5","3","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","7085","6573","capturesAmber – 4 – anyHouse | putsAmberOnTarget – 4 – anyHouse","highTotalCreaturePower – 3 – anyHouse | lowTotalCreaturePower – -3 – anyHouse | destroys – 2 – anyHouse | dealsDamage – 1 – anyHouse","LOCATION","Each time an enemy creature is destroyed during your turn, a friendly creature captures 1A.",""
"Smaaash","Brobnar","CALL_OF_THE_ARCHONS – 046","Creature","Common","1.4","1.65","0","","0","","0","","0","","0.5","0.75","5","","0","0","","","0","","0","","0","5","0","26888","25538","stuns – 3 – anyHouse | goodPlay – 2 – anyHouse","replays – 3 – house","GIANT","Play: Stun a creature.","“I’m not sure he knows any other words.” "
"Ragnarok","Brobnar","WORLDS_COLLIDE – 047","Action","Rare","0.5","2","0","","0","","0","","0","","2","3.5","-15","","0","0","","","0","","0","","0","","","1156","1389","alpha – 3 – anyHouse | destroys – 3 – anyHouse | boardClear – 2 – anyHouse","goodReap – -3 – house | lowCreatureCount – 2 – house | lowCreatureCount – 2 – anyHouse | highCreatureCount – -2 – anyHouse | highCreatureCount – -2 – house | alpha – -3 – house","","Alpha.  Play: For the remainder of the turn, creatures cannot reap and you gain 1A whenever a friendly creature fights. At the end of the turn, destroy each creature.",""
"Rock-Hurling Giant","Brobnar","CALL_OF_THE_ARCHONS – 044 | WORLDS_COLLIDE – 048 | AGE_OF_ASCENSION – 047","Creature","Rare","2","3.5","0","","0","","0","","0","","1","2.5","6","","0","0","","","0","","0","","0","6","","6485","6499","dealsDamage – 3 – anyHouse | good – 2 – anyHouse","discardsCards – 4 – outOfHouse | card – 3 – anyHouse","GIANT","During your turn, each time you discard a Brobnar card from your hand, you may deal 4D to a creature.",""
"Shard of Strength","Brobnar","AGE_OF_ASCENSION – 048","Artifact","Rare","0.25","0.5","0","","0","","0.25","0.5","0","","0","","0","","0","0","","","0","","0","","0","","","744","893","any – 3 – anyHouse | usableArtifact – 3 – anyHouse | protectsCreatures – 2 – anyHouse | increasesCreaturePower – 2 – anyHouse | protectsFromEffects – 2 – anyHouse","any – 3 – anyHouse","ITEM | SHARD","Action: Give a friendly creature a +1 power counter for each friendly Shard.","Forged from joy."
"Troll","Brobnar","CALL_OF_THE_ARCHONS – 048","Creature","Common","1.4","","0","","0","","0","","0","","0","","10","","0","0","","","0","","0","","0","8","0","27955","26664","goodReap – 2 – anyHouse","","GIANT","Reap: Troll heals 3 damage.","Don’t feed it, it’ll go away."
"Signal Fire","Brobnar","WORLDS_COLLIDE – 049 | AGE_OF_ASCENSION – 049","Artifact","Rare","1.25","2","0","","1","","0","","0","","0.25","1","0","","0","0","","","0","","0","","1","","","2914","3175","usableArtifact – 3 – anyHouse | causesFighting – 3 – house","highCreatureCount – 3 – house | lowCreatureCount – -3 – house | highTotalCreaturePower – 3 – house | lowTotalCreaturePower – -3 – house","ITEM","Omni: Sacrifice Signal Fire. For the remainder of the turn, friendly Brobnar creatures may fight as though they belonged to the active house.",""
"Wardrummer","Brobnar","CALL_OF_THE_ARCHONS – 049","Creature","Common","0.7","1.7000000000000002","0","","0","","0","","0","","0","","3","13","0","0","","","0","","0","","0","3","0","21051","20391","returns_R_ToHand – 4 – house | replays – 4 – house | goodPlay – 3 – anyHouse","lowTotalCreaturePower – -3 – house | highTotalCreaturePower – 3 – house | replays – 3 – house","GOBLIN","Play: Return each other friendly Brobnar creature to your hand.",""
"Take that, Smartypants","Brobnar","CALL_OF_THE_ARCHONS – 011 | AGE_OF_ASCENSION – 050","Action","Rare","1.5","","0.25","","1.25","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","4298","4520","stealsAmber – 2 – anyHouse","","","Play: Steal 2A if your opponent has 3 or more Logos cards in play.","“Them bots don’t wear pants. I carry spares.”"
"The Big One","Brobnar","WORLDS_COLLIDE – 050","Artifact","Rare","1","2.25","0","","0.5","1","0","","0.5","0.75","0.5","1","-5","","0","0","","","0","","0","","1","","","1176","1413","boardClear – 2 – anyHouse | destroys – 1 – anyHouse","highCreatureCount – -3 – anyHouse | highArtifactCount – -3 – anyHouse | lowArtifactCount – 3 – anyHouse | lowCreatureCount – 3 – anyHouse","WEAPON","After a creature is played, put a fuse counter on The Big One. If there are 10 or more fuse counters on The Big One, destroy each creature and artifact.",""
